Target,NoFeature_MAE,Feature_MAE,MAE_Improvement_%,NoFeature_RMSE,Feature_RMSE,RMSE_Improvement_%,NoFeature_MAPE_%,Feature_MAPE_%,MAPE_Improvement_%,NoFeature_ACI_Coverage_%,Feature_ACI_Coverage_%,NoFeature_MeanBoundOffset,Feature_MeanBoundOffset,BoundOffset_Reduction_%
High,38.527795214220966,32.54131287354701,15.538087002871872,50.195638743096296,42.64939828401391,15.033657600622252,0.9359699703529228,0.7923552830158267,15.343941780839815,95.83333333333334,96.16666666666667,99.46336700538498,72.7734702158807,26.83389633095698
Low,44.93479616991202,35.96188079378323,19.96874614096276,58.40575307013778,46.93198142988287,19.644933995588396,1.1093130441986498,0.8865409958725812,20.081982222339743,96.0,95.83333333333334,110.01042695688925,95.57542220817363,13.12148779712707
