Target,PointPrediction_MAE,PointAsBound_Coverage_%,ModelPlusACI_Coverage_%,Coverage_Gain_pp,PointAsBound_MissRate_%,ModelPlusACI_MissRate_%,MeanBoundOffset,MedianBoundOffset,PointPrediction_Note
High,32.54131287354701,54.0,96.16666666666667,42.166666666666664,46.0,3.833333333333333,72.7734702158807,70.88855689540424,ACI does not change point prediction
Low,35.96188079378323,46.833333333333336,95.83333333333334,49.00000000000001,53.16666666666667,4.1666666666666625,95.57542220817363,94.15702104384332,ACI does not change point prediction
