Target,Baseline,Baseline_MAE,Model_MAE,MAE_Improvement_%,Baseline_RMSE,Model_RMSE,RMSE_Improvement_%,Baseline_MAPE_%,Model_MAPE_%,MAPE_Improvement_%
High,3-day moving average,39.27507777777777,32.54131287354701,17.145134485362604,52.276285545239425,42.64939828401391,18.415400330795293,0.9524436249025307,0.7923552830158267,16.80816981719908
Low,3-day moving average,44.99799444444444,35.96188079378323,20.081147531624772,58.761874939359174,46.93198142988287,20.131919755257076,1.1067199270570112,0.8865409958725812,19.89472908199364
