Date,VIMF1,VIMF2,VIMF3,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,Res
2011-05-02,-0.647152891933928,-1.5166109030570414,2.1637637949884683,-2.5011104298755527e-12,-6.821210263296962e-13,0.0,0.0,0.0,13.586000000000013,1345.0140000000056
2011-05-03,0.3097736412448003,1.6403681992816241,-0.9886998049881126,-0.4537663641949621,-1.2018861786111756,-1.349495324892132,-2.759561654929712,-1.2786078538940728,12.212868635690711,1343.369006705293
2011-05-04,0.9522911331213281,1.486891094356147,0.18185673137072758,-2.2453715575172737,-1.4125715585296348,-2.1177779534896217,-5.3646341494222725,-2.5462038743773974,10.841276335981547,1341.7242437985064
2011-05-05,0.34791828701127386,-1.7451604994703165,-4.3081913776687255,-1.2913813107509213,-0.1839157597016765,-1.726487192526747,-7.654712000866766,-3.790773979069172,9.472762165469021,1340.079941667574
2011-05-06,-0.8196814944188907,-1.4788901017658906,0.1295583067160873,3.464172239540858,2.355903963517676,-0.11576831246952679,-9.480924845733625,-4.999565644561244,8.108865188751452,1338.436330700423
2011-05-09,-1.252369793031601,1.6367422069177209,-3.533256046543209,7.352064421551859,5.34054671812828,2.4294055555556042,-10.758948153356187,-6.15895066463122,6.751124470430113,1336.7936412849785
2011-05-10,-0.25286580740785464,1.453332339175697,5.816639749025244,5.953347750737294,7.930234346808447,5.560425283470295,-11.459104535342021,-7.255192010737346,5.401079075101279,1335.152103809169
2011-05-11,1.1677487039340047,-1.5975746832679008,-0.06426655081343102,0.8669831145434728,9.394854915032056,8.941193058670024,-11.60351817112587,-8.277645175924135,4.060276128029727,1333.5119486609221
2011-05-12,1.562042200549331,-1.2364128689468856,-1.217450696382062,-2.95890152674815,9.448202579672852,12.260415971205248,-11.243384738535724,-9.218214061071876,2.7302974745866777,1331.8734056656706
2011-05-13,0.30162939763973406,1.5972738918459157,1.0614149643410493,-4.104601041601654,8.140167340913422,15.26080589837602,-10.434093927486401,-10.072045250431529,1.4127463275169703,1330.2367023988866
2011-05-16,-1.4878689260957643,1.0335628919334074,-0.6383775852045237,-3.82031047227224,5.832408463296588,17.73224499694038,-9.226109164019817,-10.83686077510788,0.10924469698034045,1328.6020658735495
2011-05-17,-1.8077827912395192,-1.568086562734293,-5.541678417259746,-1.7370140328539492,3.008767449609195,19.534962022064292,-7.668802696083958,-11.511515177401634,-1.1785724845958612,1326.9697226904955
2011-05-18,-0.1793203884836911,-0.9435479323287361,-1.191198646273437,3.050021711425643,0.27914606246986295,20.602281248744703,-5.811458717572577,-12.096746245417307,-2.449074894558862,1325.3398978019943
2011-05-19,1.6349968083248418,1.3929681897156967,3.014524983925817,7.355020154486965,-1.5998697660136258,20.8879395701631,-3.702224201368381,-12.595526896106094,-3.7006445913036714,1323.7128157481754
2011-05-20,1.6814655796014888,0.8230126090968182,0.6308668713564534,6.387046552080392,-1.9562603868785118,20.374171010721057,-1.3852227783540911,-13.012081629230352,-4.931698897559045,1322.0887010691658
2011-05-23,-0.0016487483902556767,-1.1499929875060129,-6.1551440422746655,-0.33479796812548557,-0.6312991582763061,19.097304989607892,1.0994365228857532,-13.350891229252056,-6.1407456837637255,1320.467778305095
2011-05-24,-1.5522061203763198,-0.6217732891268964,2.8922657374329344,-7.518152835796855,1.9564151623926591,17.121096662698392,3.7151738202935576,-13.61668721030037,-7.326403923309044,1318.850271996092
2011-05-25,-1.5542874745598898,0.7846360349573439,-0.7016625890373352,-7.662857305954958,5.049138891346274,14.525481066013754,6.424810134956715,-13.81424354383853,-8.487422275403787,1317.2364070615204
2011-05-26,-0.05073593478043003,0.4208809203321959,-5.513457625647694,-1.0403669248808,7.9379807681934835,11.397204459862678,9.193071417110332,-13.94832467668175,-9.622662341210116,1315.6264099377022
2011-05-27,1.4691026821247033,-0.4831401666501397,-0.32777952959377843,5.994529690471609,9.97722685726194,7.818782008961762,11.985376913502932,-14.02344624219063,-10.731159284161322,1314.020507070273
2011-05-31,1.4075966614700912,-0.3344731123881719,5.539942878385937,8.522688683657634,10.750734095160169,3.8815778814471287,14.769032265103306,-14.043941096943627,-11.812081681084692,1312.4189234251921
2011-06-01,-0.14832278874100518,0.1810307590986836,-3.6967457902282788,5.972297063433871,10.255378340272046,-0.32559066603653264,17.518796451650132,-14.013996958057987,-12.864730009890081,1310.8218835984992
2011-06-02,-1.3621117023375497,0.3783523496609563,-0.6553139754805167,1.566510903381186,8.744908606273611,-4.69103427088703,20.215316860625762,-13.937705211386401,-13.888535587887645,1309.2296120280375
2011-06-03,-1.0382665342010207,0.07323618018772322,1.5162720002717016,-1.9678995314791337,6.632552932511544,-9.098921184346182,22.842767422122733,-13.818989120330343,-14.883084683611742,1307.6423325188748
2011-06-06,0.3018530243046299,-0.3776553806416629,-4.618527204101485,-3.3831323420754416,4.271486876103836,-13.431506686242074,25.386915393185973,-13.661598415644221,-15.848103982771136,1306.0602687178816
2011-06-07,1.138571831285227,-0.3680601881006388,0.2853465453201831,-2.74959941561292,1.8817413843764825,-17.551862369784203,27.832766632615176,-13.46911323781137,-16.78343527470497,1304.483644092417
2011-06-08,0.548193487189134,0.17992525975985246,-1.039723409796899,-2.7202319972066107,-0.39237787811725866,-21.319918377002523,30.16540493679031,-13.244944487976682,-17.689008523752364,1302.9126809901131
2011-06-09,-0.5363941941309058,0.7064953043100997,6.892639492848157,-2.548787920187351,-2.460321645226486,-24.615954120627066,32.37168891156466,-12.992157465360151,-18.56480763703712,1301.347599273846
2011-06-10,-0.9015433878782014,-0.052745029070610974,0.059022934682771755,-1.4741411829540993,-4.094420317678896,-27.33751329233428,34.43708984770751,-12.713457533547171,-19.410908005494548,1299.7886159665675
2011-06-13,-0.0038140021865264323,-0.7453545354686935,-1.8370220426419506,0.787021218785867,-5.181256064377521,-29.363489559794743,36.346850393262,-12.411431859054119,-20.227451983895435,1298.235948435371
2011-06-14,1.103579156610535,0.04227585503636712,2.836259605224611,2.9410244213797796,-5.814857921350949,-30.58311111755961,38.088284036452706,-12.088636380680327,-21.014629698399176,1296.689812043286
