Date,VIMF1,VIMF2,VIMF3,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,Res
2011-05-02,-1.4224512583104392,-0.28697116037201803,1.7094224186797287,-2.2737367544323206e-12,-6.821210263296962e-13,0.0,0.0,0.0,13.706000000000131,1356.8940000000055
2011-05-03,0.24264639948376182,0.41726966613474337,-1.267342786996311,0.09119986173459438,-1.5827948849548648,-1.0343780808798329,-2.6061077891652076,-1.2243619931271041,12.39791205583947,1355.3659575519307
2011-05-04,1.707397776625351,0.2608645336062902,0.39479699439589955,-0.5819741448385685,-1.7668917517983118,-1.5424449632680535,-5.064043780631891,-2.437215809098234,11.091375689249617,1353.838135455758
2011-05-05,1.198889002288958,-0.5939623884161405,-3.6428286140420143,1.0369851046789336,-0.2773154784770213,-0.9753454010476617,-7.218065495417704,-3.627053270755823,9.787942477795923,1352.3107540633926
2011-05-06,-0.7429868784951443,-0.24056258228987293,1.900842247790198,4.702531697281756,2.486706195255465,0.7261866190767705,-8.923855028972412,-4.782059995433883,8.489163999051698,1350.7840337267355
2011-05-09,-2.021614890844243,0.619352666827279,-5.306694821313216,6.7571416896371375,5.601083917335245,3.285484926698473,-10.100443074057694,-5.889097042555932,7.196591830583884,1349.2581947976892
2011-05-10,-1.0106136296981412,0.26997588357597513,4.482976309450697,5.037128354583956,8.25491896459448,6.3748602682733235,-10.719524731388447,-6.934956597512837,5.911777549963517,1347.7334576281576
2011-05-11,1.1308347660188738,-0.8275938299632429,1.3468257328383109,1.3529887478603086,9.692767216377888,9.67177607263875,-10.80468861454574,-7.909225396028205,4.636272734759814,1346.2100425700432
2011-05-12,2.143663894842531,-0.15821277198188252,-1.17216063607152,-1.120286533657918,9.585566526284765,12.872584529629421,-10.406917069704832,-8.80403556465376,3.371628224770575,1344.6881694005426
2011-05-13,0.9576101673563834,1.1558563054709676,0.9042381553736945,-2.303100753602166,7.965655289938923,15.727376623953432,-9.580635982448257,-9.614455053319716,2.1193996492525002,1343.1680555980242
2011-05-16,-1.3066171511156197,0.04869303620999846,0.5770016432337013,-3.113644180123856,5.24286587076017,18.034402468960934,-8.37561582664398,-10.338176736420792,0.8811728089879125,1341.6499180661515
